name,latitude,longitude,has_ebikes,free_bikes,renting,returning,slots
St-André / Cherrier,45.52051578783967,-73.567695915699,True,14,1,1,27
Gauthier / Parthenais,45.53292625574653,-73.56377989053726,True,5,1,1,15
Garnier / St-Grégoire,45.5358215436799,-73.58710169792175,True,2,1,1,23
de Lanaudière / Marie-Anne,45.52932643090091,-73.57480645179749,True,3,1,1,19
de Lanaudière / du Mont-Royal,45.53022106537559,-73.57699647545813,True,8,1,1,31
Boyer / du Mont-Royal,45.527432126380575,-73.57991673052311,True,0,1,1,27
Chapleau / du Mont-Royal,45.53867,-73.56936,True,3,1,1,19
Parc de Bullion (de Bullion / Prince-Arthur),45.515604257816335,-73.57213497161865,True,5,1,1,19
Hutchison / Van Horne,45.52497706918177,-73.6106863617897,True,5,1,1,19
de Maisonneuve / Mansfield (sud),45.502053864057466,-73.57346534729004,True,5,1,1,27
Hélène-Baillargeon / St-Denis,45.52974,-73.59527,True,2,1,1,19
St-Dominique / Bernard,45.52793332015246,-73.60122251338906,True,2,1,1,23
Hutchison / des Pins,45.51069,-73.57805,True,16,1,1,22
Durocher / Sherbrooke,45.507076248365834,-73.57228517532349,True,11,1,1,23
de l'Hôtel-de-Ville / Sherbrooke,45.514524730294404,-73.56835573911665,True,25,1,1,27
Cartier / Rosemont,45.54124722370603,-73.59104454517365,True,0,1,1,19
Graham / Brookfield,45.52022241072457,-73.62985610961914,True,7,1,1,23
Brittany / Ainsley,45.52588991809354,-73.65003436803818,True,10,1,1,19
Parc Pratt (Dunlop / Van Horne),45.514918954061876,-73.61968517303467,True,2,1,1,15
de Bellechasse / de St-Vallier,45.53341043363302,-73.60112428665161,True,4,1,1,19
St-Dominique / St-Zotique,45.53226461018495,-73.6110632121563,True,9,1,1,31
Louis-Hébert / de Bellechasse,45.546661109634606,-73.58868420124054,True,10,1,1,26
de Bordeaux / St-Zotique,45.546539011777845,-73.59866470098495,True,10,1,1,19
Clark / Laurier,45.522544455627866,-73.59346926212311,True,2,1,1,15
Parc Joyce (Rockland / Lajoie),45.515617,-73.614991,True,1,1,1,15
des Érables / Bélanger,45.54912085535069,-73.60087350010872,True,3,1,1,15
Louis-Hébert / St-Zotique,45.55001,-73.59576,True,14,1,1,15
Parc du Pélican (1ère avenue / Masson),45.5451997,-73.57645065,True,28,1,1,39
de Gaspé / Beaubien,45.531957916826386,-73.60700100660324,True,6,1,1,19
Parc Père-Marquette (Chambord / Rosemont),45.537087833013324,-73.59321847558022,True,4,1,1,43
1ère avenue / Rosemont,45.54779995287998,-73.58486741781235,True,8,1,1,15
1ère  avenue / St-Zotique,45.551937362101,-73.59392791986465,True,10,1,1,15
Boyer / Rosemont,45.53409866804061,-73.59553456306458,True,26,1,1,31
Cartier / Bélanger,45.546779039476185,-73.60281676054001,True,3,1,1,23
de l'Hôtel-de-Ville / Roy,45.51733075399989,-73.57449866831303,True,10,1,1,19
de Brébeuf / du Mont-Royal,45.52927839879717,-73.57792854309082,True,0,1,1,23
Drolet / Beaubien,45.533348,-73.605834,True,1,1,1,23
5e avenue / Rosemont,45.54990048023633,-73.58308374881744,True,18,1,1,19
Chabot / Beaubien,45.544375546398065,-73.59564453363419,True,4,1,1,15
Henri-Julien / de Bellechasse,45.5315079142152,-73.60308364033699,True,0,1,1,19
